,user_mentions,favorites_users
lionkingmindset,1.0,1.0
loungeloversnft,4.0,1.0
macdotsol,1.0,1.0
macguyvermedia,1.0,1.0
magnus4497,1.0,1.0
marilynmonroeji,1.0,1.0
martypartymusic,1.0,1.0
marvin_gain,1.0,1.0
maryamapanda,1.0,1.0
masterpiece_jpg,1.0,1.0
mattysino,1.0,1.0
maxo_speed,1.0,1.0
metalandz,1.0,1.0
metalpaysme,1.0,1.0
metasavagesnft,1.0,1.0
metaweartoken,2.0,1.0
metawizardsnft,1.0,1.0
mi_dutse,1.0,1.0
missufe,1.0,2.0
missuwertyx,1.0,1.0
mjackswap,1.0,1.0
moonwalkcoins,2.0,1.0
multinft,1.0,1.0
mustymuhd,1.0,1.0
myriagames,3.0,2.0
nana_erc20,2.0,1.0
nateliason,1.0,1.0
nekocoinbsc,4.0,1.0
nerian_network,1.0,1.0
netswapofficial,1.0,2.0
news_of_bsc,4.0,1.0
newwprojects,1.0,1.0
nft_zuko,1.0,1.0
ninjabearsNFT,1.0,1.0
nofake_lofyo,1.0,1.0
notbunjil,2.0,2.0
notnataliea,1.0,1.0
nxtg3nz,1.0,1.0
nzTracy1,1.0,1.0
olikeuk,1.0,1.0
oly_sport,1.0,1.0
onlyupc,1.0,1.0
opensea,7.0,1.0
paint_swap,1.0,1.0
pandoraa_x,1.0,1.0
partyhorses,2.0,1.0
penguinkarts,1.0,1.0
piyasaanaliziii,1.0,1.0
plainfacenft,1.0,1.0
playtaunt,1.0,1.0
ponzislayer6,1.0,1.0
poorrichboys,1.0,1.0
pratikdev007,1.0,1.0
prctiu,1.0,2.0
project_euro,1.0,1.0
punch_club_NFT,6.0,3.0
purple1107_,1.0,1.0
raifiorrela,1.0,1.0
rangersprotocol,1.0,1.0
resaalfny,1.0,2.0
retycoons,1.0,1.0
ringfiprotocol,2.0,1.0
riseoftheshaman,1.0,1.0
ritestream_nft,1.0,1.0
robinhood_star1,1.0,1.0
robotshiba,2.0,1.0
rocky_robotics,1.0,1.0
rodrigo_hodl,1.0,1.0
rovercrc,5.0,5.0
royalpantheremp,3.0,3.0
rudavines,1.0,1.0
saba_fotouhi,1.0,1.0
sad_girls_bar,1.0,1.0
safiyyatu92,1.0,1.0
saitanobi,1.0,2.0
saylor,6.0,9.0
scardust_io,1.0,1.0
scottmelker,1.0,3.0
scrooge_coin,3.0,1.0
seekingthrough,1.0,1.0
sfil_io,1.0,1.0
sharkraceclub,3.0,1.0
sherazasif,1.0,1.0
shib_vinci,2.0,4.0
shueyinu,4.0,1.0
shunlinft,1.0,1.0
shyftnetwork,1.0,1.0
sipvalen,1.0,1.0
skawngi,1.0,1.0
slimeballzclub,1.0,1.0
sneakerheadsoff,1.0,2.0
softmoneyinc,1.0,1.0
sol_tkdm,1.0,1.0
sonkies3,1.0,1.0
spencernoon,1.0,1.0
stablekwon,2.0,1.0
stayingpositiv,1.0,1.0
staylowkeyvince,1.0,1.0
steve46166200,1.0,1.0
studalgo,1.0,1.0
syscoin,3.0,3.0
syubvk,1.0,1.0
takegreenpill,3.0,3.0
tapfantasy2021,1.0,1.0
tarunchitra,1.0,1.0
tattoo_inu,1.0,1.0
tbfren,1.0,1.0
tethysfinance,1.0,1.0
theBigRKN,1.0,1.0
the_lonereader,1.0,1.0
theattackwagon,1.0,1.0
thecryptoqueenz,1.0,1.0
thegardenparty,1.0,1.0
theimnium,2.0,1.0
thekriskay,1.0,1.0
thenightrunners,1.0,1.0
thenovatar,6.0,4.0
theparktoken,2.0,1.0
thewastedlands,4.0,1.0
thugturtlenft,2.0,1.0
tinycapp,1.0,1.0
tn_crypto,1.0,1.0
toastpunk,2.0,1.0
tommywheelart,5.0,2.0
toquitistolose,1.0,1.0
town_pin,1.0,1.0
trader1sz,1.0,1.0
trapcapital_,1.0,1.0
tribeonedefi,6.0,1.0
trondao,1.0,2.0
trust_recruit,3.0,1.0
ultramineapy,3.0,3.0
unicorndao_xyz,1.0,1.0
unoreinsure,1.0,1.0
urbanapesociety,1.0,1.0
valkyrie_money,1.0,1.0
vallerynaa,1.0,1.0
variendarkgirl,1.0,1.0
verified,7.0,1.0
viczvenz,1.0,1.0
vincechain,1.0,1.0
vinerstein,1.0,1.0
winneryaa_,1.0,1.0
wishervodka,1.0,1.0
wooxbigwin,1.0,1.0
xApeOfficial,1.0,1.0
xeniatchoumi,1.0,1.0
xrtNFT,1.0,1.0
yangbikinkangen,1.0,2.0
yournangel,1.0,1.0
yusuf101096,1.0,1.0
zachxbt,1.0,1.0
zeoynepwtooku2,1.0,1.0
zhusu,2.0,1.0
