,screen_name,name,verified,created_at,age,age_days,url,description,links,follower_count,avg_new_followers_per_day,favourites_count,avg_likes_last_50,avg_rt_last_50,user_mentions_last_50
102,crypt0_stella,Crypto Stella,False,2021-07-04 20:43:58+00:00,253 days 04:40:02.765394,253,https://t.co/n6kKDPct8c,"Gem Hunter l Daily #Giveaways  l Crypto & Social Promoter I DM for promotion

#BNB #BTC #TRX #ETH #BSC #MATIC #crypto #NFT

Proofs - #StellaWins ♥",[],102524,405.2332015810277,1918,42.0625,526.9166666666666,"['Bang_Garr', 'CryptoPopBrand', 'Dusty59877727', 'royalpantheremp', 'metaskeletons', 'givemebigwins', 'Bushido_Society', 'safuuprotocol', 'behype_nft', 'cocon3n3_', 'missuwertyx', 'C_2022wincityxx', 'jenzenwin', 'j0xxlucky', 'yangyangsgang', 'PrimeXBT', 'jaehyunncit127', 'Teguhardyansah2', 'uaenariego', 'holywaterxxd', 'silviarhy_', 'kexlip', 'crypt0_stella', 'sk7kn1ght1x', 'pandoraa_x', 'Matt_cryptoz', 'purple1107_', 'mushkankp', 'theimnium', 'jemitzu']"
103,DailyCryptoGems,Daily Crypto Gems,False,2021-05-15 10:15:52+00:00,303 days 15:08:09.236510,303,https://t.co/xl32RUR0U3,💎 Crypto GEM Hunter 🔎 Daily Projects News & Featured Projects 🕹 NFT Enthusiast #BNB #Bitcoin #Eth Tweet is financial advice !,[],55070,181.74917491749176,5894,80.22,111.44,"['ShibaChristmas', 'UraaaDoge', 'MarsEcosystem', 'WebooSwap', 'RapidMoonBSC', 'MetaHousebsc', 'tgdaopad', 'meta_rim', 'coinllectibles', 'WalkingDeadBSC', 'babyswap_bsc', 'DumboSocialFi', 'ElvantisGame', 'playersart', 'Monsta_Infinite']"
104,CryptoNftGemApe,Crypto NFT Gem Ape,False,2020-08-09 18:13:35+00:00,582 days 07:10:26.705465,582,,||Crypto Enthusiastic|| Crypto Gems|| & ||NFTs Promoter ||Shiller ||Gems Finder|| Let's take your to next 10X - 100X|| 🚀 #BTC #ETH #BNB #ALGO #Solana,[],26777,46.008591065292094,177,27.68,10.78,"['myriagames', 'Cryptogeniusgem']"
105,CryptoMaxine,CryptoMaxine,False,2021-02-17 10:23:37+00:00,390 days 15:00:25.139917,390,,"💰🇫🇷 French crypto investor 👍🏻 Physiotherapist 🙌 Friendly, DM for collaborations, DYOR 💎 Gem hunter 📊 #BTC #BSC #Polygon #Fantom #AVAX",[],120149,308.074358974359,1561,216.82,518.0,"['cubo_money', 'SynapseNetwork_', 'QuickswapDEX', 'tommywheelart', 'ssonnwwenn', 'PlayTimeRaiders', 'BlackSharkNodes', 'FrancePrimexbt', 'CryptoCabri', 'gamifigg', 'hongminh1094', 'loungeloversnft', 'CryptoGirlNFT_', 'CryptoMaxine', 'PancakeSwap', 'WSGToken', 'EthernityChain', 'Token_Traxx', 'Exorians', 'BinStarterio', 'EarnElexir', 'PrimeXBT', 'enjinstarter', 'etherstonesfi', 'Marvin_Inu', 'HeroInfinityETH', 'lagaleriedesNFT', 'GemsAndGoblins', 'lukamodric10', 'Culprit_Studios']"
106,JewelCrypt0,JewelD'Shiller 💎,False,2011-04-29 19:04:11+00:00,3972 days 06:19:51.572442,3972,https://t.co/8uiDwwxm3o,Promo page | Project Shiller | #BNB #BTC #ETH #NFT #DEFI #SOLANA #GAMEFI 💎  Vouch : #iHeartJewel,[],311680,78.46928499496475,34,158.3877551020408,1658.2244897959183,"['CDKToken', 'myriagames', 'Teeird', 'MetaTriads', '0mjenjenx', 'CryptoMonaL', 'BoomBabiesNFT', 'GlazeCrypto', 'raifiorrela', 'Paragenio', 'Altmax8', 'crypto3_johnny', 'CastelloCoin', 'torix_nft', 'JewelCrypt0', 'TFG_NFTS', 'zelicer88', 'BiGwinner110110', 'cryptic_Lord1', 'LUCKYACHILL3S__', 'edwardmazyy', 'Mf1gt3r', 'SolidProof_io', 'standagainstwar', 'Crypt0Mastr_', 'play6up', 'AJ_Sinner', 'widow_crypto', 'bakanamanplz', 'olikeuk', 'SlothRoob', 'Crypto_Investe']"
107,Crypt0kyuubi,Crypto Kyuubi,False,2020-08-23 23:07:30+00:00,568 days 02:16:33.042498,568,https://t.co/aXFejN24f1,Crypto HODLER #BNB #SAND #AXS #SFUND | $GHC Partner | Blockhain #NFT Gaming Hunter 🇵🇭 | Crypto Promoter | Giveaway Host | DM for Promotions #kyuubiforyou,[],99627,175.39964788732394,4982,25.96,154.16,"['Findora', 'TheDefiJedi', 'Crypt0kyuubi', 'riegobigwinctx_', 'nauraanindyaaly', 'jungwonicityx', 'ikutjaemcityx', 'oneiricroses', 'riegoluvr_', 'luckyytiger', 'riegosity', 'xxxbamtannie', '3DMFER', 'Jeanchoi1250', 'CryptoMahad77', 'Ayuubigwinn', 'Rachellhazen15', 'bigwincodyy', 'deagagnerwinx', 'adiscityx', '_ceumin', 'swertepickme', 'sky_winwin', 'ana_tok1', 'Tuhanlove01', 'Kyuubii0']"
108,DaCryptoGeneral,🟨 CRYPTO GENERAL 🚀,False,2020-08-17 11:40:56+00:00,574 days 13:43:07.497345,574,https://t.co/NgLbDegAaM,"Crypto legend 💎 | I was broke few years ago, now I am a crypto millionaire. My tweets are NFA, please DYOR !!",[],191085,332.9006968641115,4922,856.88,225.02,"['FreshCalls2022', 'BTC_Archive', 'syscoin', 'OfficialTravlad', 'DaCryptoGems', 'MemeTowers', 'bounce_finance', 'Margexcom', 'verified', 'core_nodes', 'tribeonedefi', 'cz_binance', 'Sniper_Web3', 'binance', 'IUlimited', 'Blockworks_', 'DpadFinance', 'WatcherGuru', 'DaCryptoGeneral', 'MobyCrypt']"
109,CryptoCommandr,The Crypto Commander,False,2021-10-15 12:52:04+00:00,150 days 12:31:59.983176,150,,Hunter of 100X Monsters and Parabola | Blockchain Consultant | Hired Gun | DYOR NFA,[],65271,435.14,267,83.26,1251.84,"['SynapseNetwork_', 'trondao', 'CryptoMichNL', 'AAptitudeToken', 'shueyinu', 'AurumProtocol', 'Bybit_Official', 'moonstarter_off', 'beinlibertarian', 'PolkaFoundry', 'FukuNekoBSC', 'tribeonedefi', 'Ukraine', 'MetarunGame', 'CryptoCommandr', 'VoltInuOfficial', 'nana_erc20', 'unfetteredgame', 'gravefinance', 'SHIBGEKI', 'atem_network', 'cryptopunksbot', 'squatchclub', 'Oxbull5', 'focaldefi', 'Quantic_finance', 'mythx_platform', 'cerealclubnft', 'Poolz__', 'Gamestarter', 'EliteNerdzClub', 'opensea', 'BrianDColwell', 'Midas_DAO']"
110,cryprules,𝘳𝘶𝘭𝘪𝘦𝘴,False,2011-02-06 04:38:39+00:00,4054 days 20:45:25.721556,4054,https://t.co/VIl0djL2Q7,Promoter and Shiller - #TYcryprules 🥂,[],141847,34.98939319190922,675,34.9,248.7,"['btslabs_global', 'jichurabbiteuu', 'jjays_innie', 'CplayNetwork', 'jejej_em', 'LBank_Exchange', 'k4riwinsxcity', 'haylobibble__', 'cryprules', 'alimontefalco__', 'cryptobri_', 'moreofyous', 'gfjunmyeon', 'sabigwinAamiin', 'tenmaaa7', 'rjihri_city']"
111,TheLondonCrypto,The London Crypto,False,2012-02-19 22:28:50+00:00,3676 days 02:55:15.174835,3676,,Derivatives Trader | My Tweets are my opinion and never financial advice | Do Your Own Research | Seriously… #DYOR,[],173952,47.32100108813928,1389,60.86,26.04,"['PlayTimeRaiders', 'inmortalcrypto', 'AngelCat_BSC', 'TechDev_52', 'TheMoonCarl', 'GDCOERC', 'TheRealPlanC', 'redxbt', 'Willbrandblock', 'TraderDaink', 'CredibleCrypto', 'InuDarth', 'WallStreetFetts', 'ColdBloodShill', 'AurelienOhayon', 'Token_Traxx', 'gaah_im', 'Eunicedwong', 'Livercoin', 'ColinaMello', 'gainzxbt', 'IT_Tech_PL', 'enjinstarter', 'Girl1995Crypto', 'TheLondonCrypto', 'LiberoFinancial', 'TheBlock__', 'HeroInfinityETH', 'DaCryptoGeneral', 'JanWues', 'minkyutekken', 'rovercrc', 'OnChainCollege', 'AltcoinGordon', 'MatthewHyland_']"
